id,stratum,probe,expected,note,result
82,B dict-sample,citizendom,pass,,
83,B dict-sample,unimbezzled,pass,,
84,B dict-sample,paysagist,pass,,
85,B dict-sample,reinvest,pass,,
86,B dict-sample,reinless,pass,,
87,B dict-sample,festinately,pass,,
88,B dict-sample,kinescope,pass,,
89,B dict-sample,hydrofluate,pass,,
90,B dict-sample,figmental,pass,,
91,B dict-sample,drengage,pass,,
92,B dict-sample,contagioned,pass,,
93,B dict-sample,convocant,pass,,
94,B dict-sample,writmaking,pass,,
95,B dict-sample,unpretty,pass,,
96,B dict-sample,hexenbesen,pass,,
97,B dict-sample,homilete,pass,,
98,B dict-sample,coloristic,pass,,
99,B dict-sample,apractic,pass,,
100,B dict-sample,hohenzollern,pass,,
101,B dict-sample,genian,pass,,
102,B dict-sample,foul,pass,,
103,B dict-sample,landlouper,pass,,
104,B dict-sample,beltian,pass,,
105,B dict-sample,tenebrous,pass,,
106,B dict-sample,prefrankness,pass,,
107,B dict-sample,sangreeroot,pass,,
108,B dict-sample,zygomaticum,pass,,
109,B dict-sample,physical,pass,,
110,B dict-sample,willfully,pass,,
111,B dict-sample,iodiferous,pass,,
112,B dict-sample,keraphyllous,pass,,
113,B dict-sample,degenerate,pass,,
114,B dict-sample,prelegatee,pass,,
115,B dict-sample,barathea,pass,,
116,B dict-sample,redemand,pass,,
117,B dict-sample,ranged,pass,,
118,B dict-sample,rectorate,pass,,
119,B dict-sample,ringer,pass,,
120,B dict-sample,villa,pass,,
121,B dict-sample,restful,pass,,
122,B dict-sample,celeomorphic,pass,,
123,B dict-sample,annularity,pass,,
124,B dict-sample,toptail,pass,,
125,B dict-sample,meticulous,pass,,
126,B dict-sample,athirst,pass,,
127,B dict-sample,volitionate,pass,,
128,B dict-sample,topped,pass,,
129,C game-vocab,mover,pass,,
130,C game-vocab,finn,pass,,
131,C game-vocab,frigid,pass,,
132,C game-vocab,logistics,pass,,
133,C game-vocab,say,pass,,
134,C game-vocab,favra,pass,,
135,C game-vocab,codex,pass,,
136,C game-vocab,runner,pass,,
137,C game-vocab,gray,pass,,
138,C game-vocab,tumbleweed,pass,,
139,C game-vocab,winged,pass,,
140,C game-vocab,menace,pass,,
141,C game-vocab,fresh,pass,,
142,C game-vocab,glyph,pass,,
143,C game-vocab,cutter,pass,,
144,C game-vocab,midnight,pass,,
145,C game-vocab,wealth,pass,,
146,C game-vocab,matt,pass,,
147,C game-vocab,trinket,pass,,
148,C game-vocab,pipe,pass,,
149,C game-vocab,devilray,pass,,
150,C game-vocab,well,pass,,
151,C game-vocab,nom,pass,,
152,C game-vocab,kick,pass,,
153,C game-vocab,envelopment,pass,,
154,C game-vocab,kabron,pass,,
155,C game-vocab,beast,pass,,
156,C game-vocab,alliance,pass,,
157,C game-vocab,lasting,pass,,
158,C game-vocab,poster,pass,,
159,C game-vocab,bandit,pass,,
160,C game-vocab,casual,pass,,
161,C game-vocab,saga,pass,,
162,C game-vocab,john,pass,,
163,C game-vocab,bonanza,pass,,
164,C game-vocab,drinker,pass,,
165,C game-vocab,teahouse,pass,,
166,C game-vocab,mantle,pass,,
167,C game-vocab,frozen,pass,,
168,C game-vocab,reduction,pass,,
169,C game-vocab,drink,pass,,
170,C game-vocab,illustration,pass,,
171,C game-vocab,clown,pass,,
172,C game-vocab,ike,pass,,
173,C game-vocab,kafra,pass,,
174,C game-vocab,morpho,pass,,
175,C game-vocab,huntsman,pass,,
176,C game-vocab,waterfall,pass,,
177,C game-vocab,karel,pass,,
178,C game-vocab,shatucca,pass,,
179,C game-vocab,bystander,pass,,
180,C game-vocab,jun,pass,,
181,C game-vocab,jogger,pass,,
182,C game-vocab,cooling,pass,,
183,C game-vocab,aching,pass,,
184,C game-vocab,giearth,pass,,
185,C game-vocab,leave,pass,,
186,C game-vocab,ablaze,pass,,
187,C game-vocab,poppo,pass,,
188,C game-vocab,crimson,pass,,
189,C game-vocab,endure,pass,,
190,C game-vocab,suit,pass,,
191,C game-vocab,ale,pass,,
192,C game-vocab,creeper,pass,,
193,D fp-prone,stitcher,pass,contains a profane fragment but is innocuous,
194,D fp-prone,assuredness,pass,contains a profane fragment but is innocuous,
195,D fp-prone,killingly,pass,contains a profane fragment but is innocuous,
196,D fp-prone,misexecute,pass,contains a profane fragment but is innocuous,
197,D fp-prone,leucothoe,pass,contains a profane fragment but is innocuous,
198,D fp-prone,espousement,pass,contains a profane fragment but is innocuous,
199,D fp-prone,serapis,pass,contains a profane fragment but is innocuous,
200,D fp-prone,bitterweed,pass,contains a profane fragment but is innocuous,
201,D fp-prone,heliotroper,pass,contains a profane fragment but is innocuous,
202,D fp-prone,schelling,pass,contains a profane fragment but is innocuous,
203,D fp-prone,organal,pass,contains a profane fragment but is innocuous,
204,D fp-prone,dagassa,pass,contains a profane fragment but is innocuous,
205,D fp-prone,canalling,pass,contains a profane fragment but is innocuous,
206,D fp-prone,hangie,pass,contains a profane fragment but is innocuous,
207,D fp-prone,directivity,pass,contains a profane fragment but is innocuous,
208,D fp-prone,grapeful,pass,contains a profane fragment but is innocuous,
209,D fp-prone,asexuality,pass,contains a profane fragment but is innocuous,
210,D fp-prone,windlass,pass,contains a profane fragment but is innocuous,
211,D fp-prone,undirected,pass,contains a profane fragment but is innocuous,
212,D fp-prone,nonsoldier,pass,contains a profane fragment but is innocuous,
213,D fp-prone,associationalism,pass,contains a profane fragment but is innocuous,
214,D fp-prone,unquantitative,pass,contains a profane fragment but is innocuous,
215,D fp-prone,unassessed,pass,contains a profane fragment but is innocuous,
216,D fp-prone,vantbrass,pass,contains a profane fragment but is innocuous,
217,D fp-prone,plowshoe,pass,contains a profane fragment but is innocuous,
218,D fp-prone,latericumbent,pass,contains a profane fragment but is innocuous,
219,D fp-prone,tass,pass,contains a profane fragment but is innocuous,
220,D fp-prone,tennantite,pass,contains a profane fragment but is innocuous,
221,D fp-prone,sunweed,pass,contains a profane fragment but is innocuous,
222,D fp-prone,periproctitis,pass,contains a profane fragment but is innocuous,
223,D fp-prone,cassumunar,pass,contains a profane fragment but is innocuous,
224,D fp-prone,scorpionweed,pass,contains a profane fragment but is innocuous,
225,D fp-prone,cassiopeia,pass,contains a profane fragment but is innocuous,
226,D fp-prone,watchglassful,pass,contains a profane fragment but is innocuous,
227,D fp-prone,misclass,pass,contains a profane fragment but is innocuous,
228,D fp-prone,hoarsely,pass,contains a profane fragment but is innocuous,
229,D fp-prone,superincumbent,pass,contains a profane fragment but is innocuous,
230,D fp-prone,excrementitial,pass,contains a profane fragment but is innocuous,
231,D fp-prone,killcu,pass,contains a profane fragment but is innocuous,
232,D fp-prone,shirlcock,pass,contains a profane fragment but is innocuous,
233,D fp-prone,pentit,pass,contains a profane fragment but is innocuous,
234,D fp-prone,hassium,pass,contains a profane fragment but is innocuous,
235,D fp-prone,sexivalent,pass,contains a profane fragment but is innocuous,
236,D fp-prone,titubation,pass,contains a profane fragment but is innocuous,
237,D fp-prone,antitypic,pass,contains a profane fragment but is innocuous,
238,D fp-prone,butterfly,pass,contains a profane fragment but is innocuous,
239,D fp-prone,dickey,pass,contains a profane fragment but is innocuous,
240,D fp-prone,postresurrectional,pass,contains a profane fragment but is innocuous,
241,D fp-prone,glassfish,pass,contains a profane fragment but is innocuous,
242,D fp-prone,vulvovaginitis,pass,contains a profane fragment but is innocuous,
243,D fp-prone,semicanalis,pass,contains a profane fragment but is innocuous,
244,D fp-prone,sphyrapicus,pass,contains a profane fragment but is innocuous,
245,D fp-prone,rachianalgesia,pass,contains a profane fragment but is innocuous,
246,D fp-prone,cockalorum,pass,contains a profane fragment but is innocuous,
247,D fp-prone,fermentitious,pass,contains a profane fragment but is innocuous,
248,D fp-prone,circumscribe,pass,contains a profane fragment but is innocuous,
249,D fp-prone,pileweed,pass,contains a profane fragment but is innocuous,
250,D fp-prone,profectitious,pass,contains a profane fragment but is innocuous,
251,D fp-prone,superassertion,pass,contains a profane fragment but is innocuous,
252,D fp-prone,sexually,pass,contains a profane fragment but is innocuous,
253,D fp-prone,soldierwise,pass,contains a profane fragment but is innocuous,
254,D fp-prone,prospicience,pass,contains a profane fragment but is innocuous,
255,D fp-prone,improperation,pass,contains a profane fragment but is innocuous,
256,D fp-prone,imbursement,pass,contains a profane fragment but is innocuous,
257,D fp-prone,circumduce,pass,contains a profane fragment but is innocuous,
258,D fp-prone,assassinator,pass,contains a profane fragment but is innocuous,
259,D fp-prone,unassoiled,pass,contains a profane fragment but is innocuous,
260,D fp-prone,resex,pass,contains a profane fragment but is innocuous,
261,D fp-prone,marconigraphy,pass,contains a profane fragment but is innocuous,
262,D fp-prone,methylator,pass,contains a profane fragment but is innocuous,
263,D fp-prone,tydie,pass,contains a profane fragment but is innocuous,
264,D fp-prone,circumaviation,pass,contains a profane fragment but is innocuous,
265,D fp-prone,pincerweed,pass,contains a profane fragment but is innocuous,
266,D fp-prone,sassanidae,pass,contains a profane fragment but is innocuous,
267,D fp-prone,dickeybird,pass,contains a profane fragment but is innocuous,
268,D fp-prone,gamecock,pass,contains a profane fragment but is innocuous,
269,D fp-prone,crackpot,pass,contains a profane fragment but is innocuous,
270,D fp-prone,arreptitious,pass,contains a profane fragment but is innocuous,
271,D fp-prone,manuscriptal,pass,contains a profane fragment but is innocuous,
272,D fp-prone,unsurpassable,pass,contains a profane fragment but is innocuous,
273,D fp-prone,hydrorrhoea,pass,contains a profane fragment but is innocuous,
274,D fp-prone,actinodielectric,pass,contains a profane fragment but is innocuous,
275,D fp-prone,unassessableness,pass,contains a profane fragment but is innocuous,
276,D fp-prone,sulphonethylmethane,pass,contains a profane fragment but is innocuous,
277,D fp-prone,septipartite,pass,contains a profane fragment but is innocuous,
278,D fp-prone,cumbha,pass,contains a profane fragment but is innocuous,
279,D fp-prone,hexapartite,pass,contains a profane fragment but is innocuous,
280,D fp-prone,titrimetric,pass,contains a profane fragment but is innocuous,
281,D fp-prone,toddick,pass,contains a profane fragment but is innocuous,
282,D fp-prone,sextubercular,pass,contains a profane fragment but is innocuous,
283,D fp-prone,killeekillee,pass,contains a profane fragment but is innocuous,
284,D fp-prone,medjidie,pass,contains a profane fragment but is innocuous,
285,D fp-prone,troper,pass,contains a profane fragment but is innocuous,
286,D fp-prone,directional,pass,contains a profane fragment but is innocuous,
287,D fp-prone,vibromassage,pass,contains a profane fragment but is innocuous,
288,D fp-prone,buttonbur,pass,contains a profane fragment but is innocuous,
289,D fp-prone,unreassuringly,pass,contains a profane fragment but is innocuous,
290,D fp-prone,glassless,pass,contains a profane fragment but is innocuous,
291,D fp-prone,directed,pass,contains a profane fragment but is innocuous,
292,D fp-prone,directitude,pass,contains a profane fragment but is innocuous,
293,D fp-prone,reversement,pass,contains a profane fragment but is innocuous,
294,D fp-prone,easement,pass,contains a profane fragment but is innocuous,
295,D fp-prone,janus,pass,contains a profane fragment but is innocuous,
296,D fp-prone,tarbuttite,pass,contains a profane fragment but is innocuous,
297,D fp-prone,passman,pass,contains a profane fragment but is innocuous,
298,D fp-prone,dastard,pass,contains a profane fragment but is innocuous,
299,D fp-prone,sniggle,pass,contains a profane fragment but is innocuous,
300,D fp-prone,isinglass,pass,contains a profane fragment but is innocuous,
301,D fp-prone,orvietite,pass,contains a profane fragment but is innocuous,
302,D fp-prone,cassidid,pass,contains a profane fragment but is innocuous,
303,D fp-prone,bouleversement,pass,contains a profane fragment but is innocuous,
304,D fp-prone,appassionata,pass,contains a profane fragment but is innocuous,
305,D fp-prone,snigger,pass,contains a profane fragment but is innocuous,
306,D fp-prone,bacteriotherapeutic,pass,contains a profane fragment but is innocuous,
307,D fp-prone,diethylamine,pass,contains a profane fragment but is innocuous,
308,D fp-prone,circuminsession,pass,contains a profane fragment but is innocuous,
309,D fp-prone,buttonhook,pass,contains a profane fragment but is innocuous,
310,D fp-prone,circumplication,pass,contains a profane fragment but is innocuous,
311,D fp-prone,vinasse,pass,contains a profane fragment but is innocuous,
312,D fp-prone,lasset,pass,contains a profane fragment but is innocuous,
313,D fp-prone,addititious,pass,contains a profane fragment but is innocuous,
314,D fp-prone,antitrismus,pass,contains a profane fragment but is innocuous,
315,D fp-prone,reasseverate,pass,contains a profane fragment but is innocuous,
316,D fp-prone,classes,pass,contains a profane fragment but is innocuous,
317,D fp-prone,passerine,pass,contains a profane fragment but is innocuous,
318,D fp-prone,nigritian,pass,contains a profane fragment but is innocuous,
319,D fp-prone,bennettitaceous,pass,contains a profane fragment but is innocuous,
320,D fp-prone,inauspiciously,pass,contains a profane fragment but is innocuous,
321,E proper-noun,ping,pass,,
322,E proper-noun,peter,pass,,
323,E proper-noun,jess,pass,,
324,E proper-noun,rees,pass,,
325,E proper-noun,courtney,pass,,
326,E proper-noun,boyce,pass,,
327,E proper-noun,matthias,pass,,
328,E proper-noun,joanne,pass,,
329,E proper-noun,mohammad,pass,,
330,E proper-noun,boyd,pass,,
331,E proper-noun,charley,pass,,
332,E proper-noun,randell,pass,,
333,E proper-noun,joubert,pass,,
334,E proper-noun,charles,pass,,
335,E proper-noun,kenn,pass,,
336,E proper-noun,konstantinos,pass,,
337,E proper-noun,jesus,pass,,
338,E proper-noun,kent,pass,,
339,E proper-noun,emma,pass,,
340,E proper-noun,pravin,pass,,
341,E proper-noun,lyndon,pass,,
342,E proper-noun,ninja,pass,,
343,E proper-noun,cory,pass,,
344,E proper-noun,bernard,pass,,
345,E proper-noun,penny,pass,,
346,E proper-noun,naoto,pass,,
347,E proper-noun,lance,pass,,
348,E proper-noun,bernie,pass,,
349,E proper-noun,sehyo,pass,,
350,E proper-noun,tammy,pass,,
351,E proper-noun,raymond,pass,,
352,E proper-noun,meehan,pass,,
353,E proper-noun,gerald,pass,,
354,E proper-noun,neville,pass,,
355,E proper-noun,spass,pass,,
356,E proper-noun,loyd,pass,,
357,E proper-noun,honzo,pass,,
358,E proper-noun,donna,pass,,
359,E proper-noun,archie,pass,,
360,E proper-noun,caleb,pass,,
361,E proper-noun,dimitry,pass,,
362,E proper-noun,sharan,pass,,
363,E proper-noun,becky,pass,,
364,E proper-noun,lila,pass,,
365,E proper-noun,sunil,pass,,
366,E proper-noun,takao,pass,,
367,E proper-noun,josip,pass,,
368,E proper-noun,tait,pass,,
369,E proper-noun,tandy,pass,,
370,E proper-noun,nigel,pass,,
371,E proper-noun,rakhal,pass,,
372,E proper-noun,kenneth,pass,,
373,E proper-noun,daren,pass,,
374,E proper-noun,celeste,pass,,
375,E proper-noun,evelyn,pass,,
376,E proper-noun,pamela,pass,,
377,E proper-noun,dylan,pass,,
378,E proper-noun,srinivasan,pass,,
379,E proper-noun,konrad,pass,,
380,E proper-noun,doyle,pass,,
381,E proper-noun,tolerant,pass,,
382,E proper-noun,gary,pass,,
383,E proper-noun,rudolph,pass,,
384,E proper-noun,sedovic,pass,,
385,G evasion,<PROFANITY:spaced>,block,apply the 'spaced' transform to a common profanity and type that,
386,G evasion,<PROFANITY:dotted>,block,apply the 'dotted' transform to a common profanity and type that,
387,G evasion,<PROFANITY:repeat>,block,apply the 'repeat' transform to a common profanity and type that,
388,G evasion,<PROFANITY:leet>,block,apply the 'leet' transform to a common profanity and type that,
389,G evasion,<PROFANITY:fullwidth>,block,apply the 'fullwidth' transform to a common profanity and type that,
390,G evasion,<PROFANITY:upper>,block,apply the 'upper' transform to a common profanity and type that,
391,H control-clean,qzjvx,pass,nonsense; if this is blocked the list is broken,
392,H control-clean,wexbtn,pass,nonsense; if this is blocked the list is broken,
393,H control-clean,mlqrpd,pass,nonsense; if this is blocked the list is broken,
394,H control-clean,vbnxzq,pass,nonsense; if this is blocked the list is broken,
395,H control-clean,jkwmtz,pass,nonsense; if this is blocked the list is broken,
396,H control-clean,zzqqxx,pass,nonsense; if this is blocked the list is broken,
397,H control-clean,pflmrv,pass,nonsense; if this is blocked the list is broken,
398,H control-clean,xcvbnm,pass,nonsense; if this is blocked the list is broken,
399,H control-clean,qwrtpl,pass,nonsense; if this is blocked the list is broken,
400,H control-clean,hjklzx,pass,nonsense; if this is blocked the list is broken,
401,I control-block,<PROFANITY:plain>,block,"an unambiguous profanity, typed plainly -- confirms the filter is switched on",
