id,stratum,probe,expected,note,result
222,D fp-prone,periproctitis,pass,contains a profane fragment but is innocuous,block
223,D fp-prone,cassumunar,pass,contains a profane fragment but is innocuous,pass
224,D fp-prone,scorpionweed,pass,contains a profane fragment but is innocuous,block
225,D fp-prone,cassiopeia,pass,contains a profane fragment but is innocuous,pass
226,D fp-prone,watchglassful,pass,contains a profane fragment but is innocuous,pass
227,D fp-prone,misclass,pass,contains a profane fragment but is innocuous,pass
228,D fp-prone,hoarsely,pass,contains a profane fragment but is innocuous,block
229,D fp-prone,superincumbent,pass,contains a profane fragment but is innocuous,block
230,D fp-prone,excrementitial,pass,contains a profane fragment but is innocuous,block
231,D fp-prone,killcu,pass,contains a profane fragment but is innocuous,pass
232,D fp-prone,shirlcock,pass,contains a profane fragment but is innocuous,pass
233,D fp-prone,pentit,pass,contains a profane fragment but is innocuous,pass
234,D fp-prone,hassium,pass,contains a profane fragment but is innocuous,pass
235,D fp-prone,sexivalent,pass,contains a profane fragment but is innocuous,block
236,D fp-prone,titubation,pass,contains a profane fragment but is innocuous,pass
237,D fp-prone,antitypic,pass,contains a profane fragment but is innocuous,block
238,D fp-prone,butterfly,pass,contains a profane fragment but is innocuous,block
239,D fp-prone,dickey,pass,contains a profane fragment but is innocuous,block
240,D fp-prone,postresurrectional,pass,contains a profane fragment but is innocuous,pass
241,D fp-prone,glassfish,pass,contains a profane fragment but is innocuous,pass
242,D fp-prone,vulvovaginitis,pass,contains a profane fragment but is innocuous,pass
243,D fp-prone,semicanalis,pass,contains a profane fragment but is innocuous,block
244,D fp-prone,sphyrapicus,pass,contains a profane fragment but is innocuous,pass
245,D fp-prone,rachianalgesia,pass,contains a profane fragment but is innocuous,pass
246,D fp-prone,cockalorum,pass,contains a profane fragment but is innocuous,block
247,D fp-prone,fermentitious,pass,contains a profane fragment but is innocuous,pass
248,D fp-prone,circumscribe,pass,contains a profane fragment but is innocuous,block
249,D fp-prone,pileweed,pass,contains a profane fragment but is innocuous,block
250,D fp-prone,profectitious,pass,contains a profane fragment but is innocuous,block
251,D fp-prone,superassertion,pass,contains a profane fragment but is innocuous,pass
252,D fp-prone,sexually,pass,contains a profane fragment but is innocuous,pass
253,D fp-prone,soldierwise,pass,contains a profane fragment but is innocuous,pass
254,D fp-prone,prospicience,pass,contains a profane fragment but is innocuous,pass
255,D fp-prone,improperation,pass,contains a profane fragment but is innocuous,block
256,D fp-prone,imbursement,pass,contains a profane fragment but is innocuous,pass
257,D fp-prone,circumduce,pass,contains a profane fragment but is innocuous,pass
258,D fp-prone,assassinator,pass,contains a profane fragment but is innocuous,block
259,D fp-prone,unassoiled,pass,contains a profane fragment but is innocuous,pass
260,D fp-prone,resex,pass,contains a profane fragment but is innocuous,block
261,D fp-prone,marconigraphy,pass,contains a profane fragment but is innocuous,block
262,D fp-prone,methylator,pass,contains a profane fragment but is innocuous,pass
263,D fp-prone,tydie,pass,contains a profane fragment but is innocuous,block
264,D fp-prone,circumaviation,pass,contains a profane fragment but is innocuous,block
265,D fp-prone,pincerweed,pass,contains a profane fragment but is innocuous,pass
266,D fp-prone,sassanidae,pass,contains a profane fragment but is innocuous,block
267,D fp-prone,dickeybird,pass,contains a profane fragment but is innocuous,block
268,D fp-prone,gamecock,pass,contains a profane fragment but is innocuous,block
269,D fp-prone,crackpot,pass,contains a profane fragment but is innocuous,block
270,D fp-prone,arreptitious,pass,contains a profane fragment but is innocuous,pass
271,D fp-prone,manuscriptal,pass,contains a profane fragment but is innocuous,block
272,D fp-prone,unsurpassable,pass,contains a profane fragment but is innocuous,pass
273,D fp-prone,hydrorrhoea,pass,contains a profane fragment but is innocuous,block
274,D fp-prone,actinodielectric,pass,contains a profane fragment but is innocuous,pass
275,D fp-prone,unassessableness,pass,contains a profane fragment but is innocuous,pass
276,D fp-prone,sulphonethylmethane,pass,contains a profane fragment but is innocuous,block
277,D fp-prone,septipartite,pass,contains a profane fragment but is innocuous,block
278,D fp-prone,cumbha,pass,contains a profane fragment but is innocuous,pass
279,D fp-prone,hexapartite,pass,contains a profane fragment but is innocuous,block
280,D fp-prone,titrimetric,pass,contains a profane fragment but is innocuous,pass
281,D fp-prone,toddick,pass,contains a profane fragment but is innocuous,block
282,D fp-prone,sextubercular,pass,contains a profane fragment but is innocuous,block
283,D fp-prone,killeekillee,pass,contains a profane fragment but is innocuous,pass
284,D fp-prone,medjidie,pass,contains a profane fragment but is innocuous,block
285,D fp-prone,troper,pass,contains a profane fragment but is innocuous,pass
286,D fp-prone,directional,pass,contains a profane fragment but is innocuous,block
287,D fp-prone,vibromassage,pass,contains a profane fragment but is innocuous,block
288,D fp-prone,buttonbur,pass,contains a profane fragment but is innocuous,block
289,D fp-prone,unreassuringly,pass,contains a profane fragment but is innocuous,pass
290,D fp-prone,glassless,pass,contains a profane fragment but is innocuous,pass
291,D fp-prone,directed,pass,contains a profane fragment but is innocuous,pass
292,D fp-prone,directitude,pass,contains a profane fragment but is innocuous,block
293,D fp-prone,reversement,pass,contains a profane fragment but is innocuous,block
294,D fp-prone,easement,pass,contains a profane fragment but is innocuous,pass
295,D fp-prone,janus,pass,contains a profane fragment but is innocuous,pass
296,D fp-prone,tarbuttite,pass,contains a profane fragment but is innocuous,pass
297,D fp-prone,passman,pass,contains a profane fragment but is innocuous,pass
298,D fp-prone,dastard,pass,contains a profane fragment but is innocuous,pass
299,D fp-prone,sniggle,pass,contains a profane fragment but is innocuous,block
300,D fp-prone,isinglass,pass,contains a profane fragment but is innocuous,pass
301,D fp-prone,orvietite,pass,contains a profane fragment but is innocuous,block
302,D fp-prone,cassidid,pass,contains a profane fragment but is innocuous,block
303,D fp-prone,bouleversement,pass,contains a profane fragment but is innocuous,block
304,D fp-prone,appassionata,pass,contains a profane fragment but is innocuous,block
305,D fp-prone,snigger,pass,contains a profane fragment but is innocuous,pass
306,D fp-prone,bacteriotherapeutic,pass,contains a profane fragment but is innocuous,block
307,D fp-prone,diethylamine,pass,contains a profane fragment but is innocuous,pass
308,D fp-prone,circuminsession,pass,contains a profane fragment but is innocuous,pass
309,D fp-prone,buttonhook,pass,contains a profane fragment but is innocuous,pass
310,D fp-prone,circumplication,pass,contains a profane fragment but is innocuous,block
311,D fp-prone,vinasse,pass,contains a profane fragment but is innocuous,block
312,D fp-prone,lasset,pass,contains a profane fragment but is innocuous,block
313,D fp-prone,addititious,pass,contains a profane fragment but is innocuous,block
314,D fp-prone,antitrismus,pass,contains a profane fragment but is innocuous,pass
315,D fp-prone,reasseverate,pass,contains a profane fragment but is innocuous,pass
316,D fp-prone,classes,pass,contains a profane fragment but is innocuous,block
317,D fp-prone,passerine,pass,contains a profane fragment but is innocuous,block
318,D fp-prone,nigritian,pass,contains a profane fragment but is innocuous,pass
319,D fp-prone,bennettitaceous,pass,contains a profane fragment but is innocuous,pass
320,D fp-prone,inauspiciously,pass,contains a profane fragment but is innocuous,pass
321,E proper-noun,ping,pass,,pass
322,E proper-noun,peter,pass,,block
323,E proper-noun,jess,pass,,pass
324,E proper-noun,rees,pass,,block
325,E proper-noun,courtney,pass,,pass
326,E proper-noun,boyce,pass,,block
327,E proper-noun,matthias,pass,,block
328,E proper-noun,joanne,pass,,pass
329,E proper-noun,mohammad,pass,,pass
330,E proper-noun,boyd,pass,,pass
331,E proper-noun,charley,pass,,pass
332,E proper-noun,randell,pass,,pass
333,E proper-noun,joubert,pass,,pass
334,E proper-noun,charles,pass,,pass
335,E proper-noun,kenn,pass,,pass
336,E proper-noun,konstantinos,pass,,block
337,E proper-noun,jesus,pass,,pass
338,E proper-noun,kent,pass,,pass
339,E proper-noun,emma,pass,,pass
340,E proper-noun,pravin,pass,,pass
341,E proper-noun,lyndon,pass,,pass
342,E proper-noun,ninja,pass,,pass
343,E proper-noun,cory,pass,,block
344,E proper-noun,bernard,pass,,pass
345,E proper-noun,penny,pass,,pass
346,E proper-noun,naoto,pass,,pass
347,E proper-noun,lance,pass,,pass
348,E proper-noun,bernie,pass,,pass
349,E proper-noun,sehyo,pass,,pass
350,E proper-noun,tammy,pass,,block
351,E proper-noun,raymond,pass,,pass
352,E proper-noun,meehan,pass,,pass
353,E proper-noun,gerald,pass,,pass
354,E proper-noun,neville,pass,,pass
355,E proper-noun,spass,pass,,pass
356,E proper-noun,loyd,pass,,pass
357,E proper-noun,honzo,pass,,pass
358,E proper-noun,donna,pass,,pass
359,E proper-noun,archie,pass,,pass
360,E proper-noun,caleb,pass,,pass
361,E proper-noun,dimitry,pass,,pass
362,E proper-noun,sharan,pass,,pass
363,E proper-noun,becky,pass,,pass
364,E proper-noun,lila,pass,,block
365,E proper-noun,sunil,pass,,pass
366,E proper-noun,takao,pass,,pass
367,E proper-noun,josip,pass,,pass
368,E proper-noun,tait,pass,,pass
369,E proper-noun,tandy,pass,,pass
370,E proper-noun,nigel,pass,,pass
371,E proper-noun,rakhal,pass,,pass
372,E proper-noun,kenneth,pass,,pass
373,E proper-noun,daren,pass,,pass
374,E proper-noun,celeste,pass,,block
375,E proper-noun,evelyn,pass,,pass
376,E proper-noun,pamela,pass,,pass
377,E proper-noun,dylan,pass,,pass
378,E proper-noun,srinivasan,pass,,block
379,E proper-noun,konrad,pass,,pass
380,E proper-noun,doyle,pass,,pass
381,E proper-noun,tolerant,pass,,pass
382,E proper-noun,gary,pass,,pass
383,E proper-noun,rudolph,pass,,pass
384,E proper-noun,sedovic,pass,,pass
385,G evasion,<PROFANITY:spaced>,block,apply the 'spaced' transform to a common profanity and type that,pass
386,G evasion,<PROFANITY:dotted>,block,apply the 'dotted' transform to a common profanity and type that,pass
387,G evasion,<PROFANITY:repeat>,block,apply the 'repeat' transform to a common profanity and type that,pass
388,G evasion,<PROFANITY:leet>,block,apply the 'leet' transform to a common profanity and type that,pass
389,G evasion,<PROFANITY:fullwidth>,block,apply the 'fullwidth' transform to a common profanity and type that,pass
390,G evasion,<PROFANITY:upper>,block,apply the 'upper' transform to a common profanity and type that,pass
391,H control-clean,qzjvx,pass,nonsense; if this is blocked the list is broken,pass
392,H control-clean,wexbtn,pass,nonsense; if this is blocked the list is broken,pass
393,H control-clean,mlqrpd,pass,nonsense; if this is blocked the list is broken,pass
394,H control-clean,vbnxzq,pass,nonsense; if this is blocked the list is broken,pass
395,H control-clean,jkwmtz,pass,nonsense; if this is blocked the list is broken,pass
396,H control-clean,zzqqxx,pass,nonsense; if this is blocked the list is broken,pass
397,H control-clean,pflmrv,pass,nonsense; if this is blocked the list is broken,pass
398,H control-clean,xcvbnm,pass,nonsense; if this is blocked the list is broken,pass
399,H control-clean,qwrtpl,pass,nonsense; if this is blocked the list is broken,pass
400,H control-clean,hjklzx,pass,nonsense; if this is blocked the list is broken,pass
401,I control-block,<PROFANITY:plain>,block,"an unambiguous profanity, typed plainly -- confirms the filter is switched on",block
